# MEDIUM-RISK ARTICLES BACKLOG (Clusters 16-19)
# 40 articles - noindexed + flagged needsReview until human review
#
# column: cluster | category | publishedAt | hasToolLinks | hasRelatedContent | sectionCount | slug | title
#
16 | marketing | 2026-07-11 | tools:false | related:false | 5sec | seo-keyword-research-guide | SEO Keyword Research: How to Find Profitable Keywords // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
16 | marketing | 2026-07-11 | tools:false | related:false | 5sec | social-media-content-calendar-strategy | Social Media Content Calendar Strategy // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
16 | marketing | 2026-07-11 | tools:false | related:false | 5sec | email-marketing-automation-guide | Email Marketing Automation Guide // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
16 | marketing | 2026-07-11 | tools:false | related:false | 5sec | content-marketing-strategy-2026 | Content Marketing Strategy for 2026 // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
16 | marketing | 2026-07-11 | tools:false | related:false | 5sec | google-analytics-4-setup-guide | Google Analytics 4 Setup and Best Practices // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
16 | marketing | 2026-07-11 | tools:false | related:false | 5sec | facebook-ads-campaign-guide | Facebook Ads Manager Campaign Guide // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
16 | marketing | 2026-07-11 | tools:false | related:false | 5sec | instagram-growth-hacks-business | Instagram Growth Hacks for Business // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
16 | marketing | 2026-07-11 | tools:false | related:false | 5sec | linkedin-lead-generation-strategies | LinkedIn Lead Generation Strategies // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
16 | marketing | 2026-07-11 | tools:false | related:false | 5sec | tiktok-marketing-strategy-2026 | TikTok Marketing Strategy 2026 // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
16 | marketing | 2026-07-11 | tools:false | related:false | 5sec | ppc-campaign-optimization-techniques | PPC Campaign Optimization Techniques // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
17 | writing | 2026-07-11 | tools:false | related:false | 5sec | grammar-checker-complete-guide | Grammar Checker: Complete Usage Guide // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
17 | writing | 2026-07-11 | tools:false | related:false | 5sec | plagiarism-detection-tools-compared | Plagiarism Detection Tools Compared // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
17 | writing | 2026-07-11 | tools:false | related:false | 5sec | readability-score-optimization-guide | Readability Score Optimization Guide // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
17 | writing | 2026-07-11 | tools:false | related:false | 5sec | ai-writing-assistant-best-practices | AI Writing Assistant Best Practices // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
17 | writing | 2026-07-11 | tools:false | related:false | 5sec | academic-writing-tips-techniques | Academic Writing Tips and Techniques // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
17 | writing | 2026-07-11 | tools:false | related:false | 5sec | business-writing-professional-guide | Business Writing Professional Guide // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
17 | writing | 2026-07-11 | tools:false | related:false | 5sec | creative-writing-prompts-methods | Creative Writing Prompts and Methods // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
17 | writing | 2026-07-11 | tools:false | related:false | 5sec | technical-writing-best-practices | Technical Writing Best Practices // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
17 | writing | 2026-07-11 | tools:false | related:false | 5sec | blog-post-structure-that-ranks | Blog Post Structure That Ranks in Google // ISSUES: no tool links (needs integration), no related content (needs links), generic/short section bodies (2-4 sentences), same-day publish as mass dump
